,Vehicles,Month,Day,Hour,Vehicles_lag_1,Vehicles_lag_2
2015-11-01 02:00:00,10,11,1,2,,
2015-11-01 03:00:00,7,11,1,3,10.0,
2015-11-01 04:00:00,9,11,1,4,7.0,10.0
2015-11-01 05:00:00,6,11,1,5,9.0,7.0
2015-11-01 06:00:00,9,11,1,6,6.0,9.0
2015-11-01 07:00:00,8,11,1,7,9.0,6.0
2015-11-01 08:00:00,11,11,1,8,8.0,9.0
2015-11-01 09:00:00,12,11,1,9,11.0,8.0
2015-11-01 10:00:00,15,11,1,10,12.0,11.0
2015-11-01 11:00:00,17,11,1,11,15.0,12.0
2015-11-01 12:00:00,16,11,1,12,17.0,15.0
2015-11-01 13:00:00,15,11,1,13,16.0,17.0
2015-11-01 14:00:00,16,11,1,14,15.0,16.0
2015-11-01 15:00:00,12,11,1,15,16.0,15.0
2015-11-01 16:00:00,12,11,1,16,12.0,16.0
2015-11-01 17:00:00,16,11,1,17,12.0,12.0
2015-11-01 18:00:00,17,11,1,18,16.0,12.0
2015-11-01 19:00:00,20,11,1,19,17.0,16.0
2015-11-01 20:00:00,17,11,1,20,20.0,17.0
2015-11-01 21:00:00,19,11,1,21,17.0,20.0
2015-11-01 22:00:00,20,11,1,22,19.0,17.0
2015-11-01 23:00:00,15,11,1,23,20.0,19.0
2015-11-02 00:00:00,14,11,2,0,15.0,20.0
2015-11-02 01:00:00,12,11,2,1,14.0,15.0
2015-11-02 02:00:00,14,11,2,2,12.0,14.0
2015-11-02 03:00:00,12,11,2,3,14.0,12.0
2015-11-02 04:00:00,12,11,2,4,12.0,14.0
2015-11-02 05:00:00,11,11,2,5,12.0,12.0
2015-11-02 06:00:00,13,11,2,6,11.0,12.0
2015-11-02 07:00:00,14,11,2,7,13.0,11.0
2015-11-02 08:00:00,12,11,2,8,14.0,13.0
2015-11-02 09:00:00,22,11,2,9,12.0,14.0
2015-11-02 10:00:00,32,11,2,10,22.0,12.0
2015-11-02 11:00:00,31,11,2,11,32.0,22.0
2015-11-02 12:00:00,35,11,2,12,31.0,32.0
2015-11-02 13:00:00,26,11,2,13,35.0,31.0
